iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462867249,500464,517,4,462,1778834049,319106525
462867375,500529,517,4,507,1778834049,446658602
462867500,500593,517,4,532,1778834049,570300272
462867625,500658,517,4,487,1778834049,694962619
462867750,500722,517,4,482,1778834049,818727238
462867875,500787,517,4,481,1778834049,944698710
462868000,500852,517,4,482,1778834050,74731180
462868125,500916,517,4,482,1778834050,195826463
462868250,500981,517,4,481,1778834050,317826775
462868375,501045,517,4,474,1778834050,444843260
462868500,501110,517,4,470,1778834050,569662399
462868625,501174,517,4,469,1778834050,695449641
462868750,501239,517,4,466,1778834050,818416360
462868875,501304,517,4,464,1778834050,945453211
462869000,501368,517,4,469,1778834051,73877048
462869125,501433,517,4,472,1778834051,191022511
462869250,501497,517,4,474,1778834051,318764260
462869375,501562,517,4,475,1778834051,444614534
462869500,501627,517,4,476,1778834051,570210842
462869625,501691,517,4,477,1778834051,696446132
462869750,501756,517,4,477,1778834051,818622213
462869875,501820,517,4,478,1778834051,944505186
462870000,501885,517,4,480,1778834052,70383749
462870125,501950,517,4,479,1778834052,195412042
462870250,502014,517,4,481,1778834052,319861135
462870375,502079,517,4,481,1778834052,446612706
462870500,502143,517,4,483,1778834052,569958437
462870625,502208,517,4,483,1778834052,694938067
462870750,502272,517,4,482,1778834052,818348835
462870875,502337,517,4,482,1778834052,941673598
462871000,502402,517,4,480,1778834053,73521415
462871125,502466,517,4,479,1778834053,195974496
462871250,502531,517,4,478,1778834053,320789456
462871375,502595,517,4,476,1778834053,445599503
462871500,502660,517,4,479,1778834053,568920840
462871625,502725,517,4,482,1778834053,694492713
462871750,502789,517,4,481,1778834053,817455852
462871875,502854,517,4,480,1778834053,942811911
462872000,502918,517,4,481,1778834054,72911887
462872125,502983,517,4,480,1778834054,195670758
462872250,503047,517,4,480,1778834054,321579068
462872375,503112,517,4,480,1778834054,445757719
462872500,503177,516,4,481,1778834054,572519393
462872625,503241,516,4,482,1778834054,697546063
462872750,503306,516,4,475,1778834054,818379836
