iTOW,ecefX,ecefY,ecefZ,pAcc,bag_t.secs,bag_t.nsecs
462851625,-311167172,406355647,379340358,176,1778834033,690713122
462851750,-311167172,406355646,379340357,176,1778834033,815673467
462851875,-311167171,406355646,379340356,176,1778834033,939672919
462852000,-311167173,406355647,379340357,176,1778834034,65947594
462852125,-311167173,406355647,379340357,176,1778834034,190435660
462852250,-311167172,406355647,379340356,176,1778834034,316477208
462852375,-311167173,406355648,379340357,176,1778834034,440625310
462852500,-311167174,406355649,379340355,176,1778834034,565897608
462852625,-311167174,406355650,379340356,176,1778834034,690507724
462852750,-311167174,406355650,379340356,176,1778834034,815555996
462852875,-311167175,406355651,379340357,176,1778834034,938233985
462853000,-311167173,406355649,379340354,176,1778834035,71609178
462853125,-311167175,406355649,379340356,176,1778834035,191815086
462853250,-311167175,406355650,379340355,176,1778834035,317155337
462853375,-311167175,406355652,379340357,176,1778834035,440634791
462853500,-311167175,406355650,379340355,176,1778834035,566655927
462853625,-311167176,406355651,379340356,176,1778834035,692057708
462853750,-311167176,406355651,379340356,177,1778834035,815450736
462853875,-311167175,406355650,379340354,177,1778834035,939095961
462854000,-311167176,406355651,379340355,177,1778834036,69759828
462854125,-311167176,406355652,379340354,177,1778834036,190651372
462854250,-311167177,406355653,379340354,177,1778834036,315715770
462854375,-311167176,406355652,379340353,177,1778834036,439886886
462854500,-311167176,406355651,379340353,177,1778834036,565146454
462854625,-311167177,406355652,379340354,177,1778834036,690955940
462854750,-311167177,406355653,379340353,177,1778834036,812957117
462854875,-311167176,406355653,379340354,177,1778834036,939785540
462855000,-311167176,406355653,379340353,177,1778834037,68426826
462855125,-311167176,406355653,379340352,177,1778834037,191263391
462855250,-311167176,406355654,379340353,178,1778834037,316147946
462855375,-311167177,406355654,379340353,178,1778834037,439695592
462855500,-311167177,406355654,379340351,178,1778834037,564809220
462855625,-311167176,406355653,379340351,178,1778834037,686180240
462855750,-311167176,406355653,379340351,178,1778834037,814006448
462855875,-311167176,406355654,379340352,178,1778834037,940647992
462856000,-311167176,406355653,379340350,178,1778834038,70869204
462856125,-311167176,406355653,379340351,178,1778834038,190991661
462856250,-311167177,406355653,379340351,178,1778834038,315602870
462856375,-311167177,406355653,379340351,178,1778834038,439536282
462856500,-311167176,406355653,379340350,178,1778834038,560710372
462856625,-311167177,406355654,379340351,178,1778834038,690174856
462856750,-311167177,406355655,379340350,178,1778834038,815327123
462856875,-311167177,406355654,379340350,179,1778834038,940033563
462857000,-311167177,406355655,379340350,179,1778834039,69878556
462857125,-311167177,406355654,379340349,179,1778834039,189738257
462857250,-311167177,406355655,379340350,179,1778834039,315647404
462857375,-311167177,406355654,379340350,179,1778834039,438138717
462857500,-311167178,406355656,379340350,179,1778834039,564687580
462857625,-311167177,406355655,379340350,179,1778834039,690017065
462857750,-311167177,406355655,379340349,179,1778834039,814013285
462857875,-311167177,406355656,379340350,179,1778834039,938658352
462858000,-311167177,406355656,379340349,179,1778834040,68522361
462858125,-311167177,406355657,379340350,179,1778834040,189798091
462858250,-311167179,406355659,379340350,179,1778834040,315748933
462858375,-311167177,406355658,379340349,179,1778834040,440286329
462858500,-311167178,406355659,379340350,179,1778834040,565821569
462858625,-311167178,406355658,379340350,180,1778834040,689904761
462858750,-311167179,406355660,379340350,180,1778834040,815551085
462858875,-311167180,406355660,379340351,180,1778834040,940083063
462859000,-311167179,406355661,379340351,180,1778834041,70482980
462859125,-311167179,406355660,379340351,180,1778834041,190408243
462859250,-311167179,406355662,379340351,180,1778834041,313019022
462859375,-311167180,406355662,379340351,180,1778834041,439865303
462859500,-311167180,406355662,379340351,180,1778834041,564811327
462859625,-311167181,406355663,379340351,180,1778834041,689667805
462859750,-311167179,406355661,379340349,180,1778834041,814107454
462859875,-311167180,406355662,379340350,180,1778834041,939087335
462860000,-311167180,406355663,379340350,180,1778834042,69033155
462860125,-311167182,406355664,379340352,180,1778834042,186188560
462860250,-311167181,406355664,379340352,180,1778834042,315041428
462860375,-311167182,406355665,379340352,180,1778834042,438971445
462860500,-311167182,406355666,379340353,180,1778834042,564542908
462860625,-311167182,406355666,379340353,180,1778834042,689828125
462860750,-311167181,406355665,379340352,180,1778834042,814896414
462860875,-311167183,406355667,379340353,180,1778834042,940044958
462861000,-311167182,406355666,379340353,179,1778834043,66357860
462861125,-311167183,406355668,379340354,179,1778834043,190396525
462861250,-311167182,406355669,379340354,179,1778834043,317257016
462861375,-311167183,406355668,379340353,179,1778834043,440520513
462861500,-311167183,406355669,379340354,179,1778834043,564984731
462861625,-311167183,406355669,379340353,179,1778834043,689979325
462861750,-311167182,406355669,379340352,179,1778834043,814902237
462861875,-311167185,406355670,379340352,179,1778834043,938018806
462862000,-311167186,406355669,379340350,179,1778834044,70491623
462862125,-311167189,406355669,379340348,179,1778834044,191152605
462862250,-311167194,406355670,379340344,179,1778834044,316830188
462862375,-311167200,406355670,379340340,179,1778834044,439371826
462862500,-311167204,406355668,379340335,179,1778834044,564520994
462862625,-311167209,406355668,379340331,179,1778834044,690437012
462862750,-311167216,406355669,379340329,179,1778834044,815022668
462862875,-311167220,406355668,379340326,179,1778834044,939952459
462863000,-311167223,406355668,379340322,179,1778834045,68976539
462863125,-311167228,406355668,379340320,179,1778834045,189563182
462863250,-311167233,406355669,379340318,179,1778834045,315951988
462863375,-311167235,406355669,379340316,179,1778834045,438700712
462863500,-311167238,406355667,379340312,179,1778834045,563876671
462863625,-311167243,406355667,379340308,179,1778834045,689163951
462863750,-311167248,406355668,379340306,179,1778834045,812155419
462863875,-311167255,406355667,379340302,179,1778834045,938907474
462864000,-311167262,406355667,379340296,179,1778834046,68944076
462864125,-311167270,406355666,379340289,179,1778834046,189069238
462864250,-311167280,406355666,379340284,179,1778834046,315661953
462864375,-311167289,406355664,379340277,179,1778834046,439092449
462864500,-311167298,406355663,379340269,179,1778834046,564048934
462864625,-311167308,406355662,379340263,179,1778834046,685713789
462864750,-311167319,406355662,379340255,179,1778834046,813677622
462864875,-311167330,406355661,379340246,179,1778834046,938713092
462865000,-311167342,406355659,379340237,179,1778834047,69650088
462865125,-311167355,406355658,379340227,179,1778834047,190126057
462865250,-311167369,406355656,379340216,179,1778834047,316872415
462865375,-311167384,406355656,379340204,179,1778834047,440022372
462865500,-311167400,406355654,379340193,179,1778834047,560821872
462865625,-311167415,406355652,379340180,179,1778834047,690100035
462865750,-311167431,406355649,379340166,179,1778834047,815236589
462865875,-311167449,406355649,379340154,179,1778834047,939805019
462866000,-311167466,406355649,379340143,179,1778834048,70037095
462866125,-311167481,406355644,379340130,179,1778834048,190212262
462866250,-311167498,406355646,379340118,179,1778834048,315382050
462866374,-311167513,406355642,379340104,179,1778834048,438073584
462866499,-311167532,406355641,379340092,179,1778834048,567012439
462866624,-311167548,406355638,379340078,179,1778834048,690481109
462866749,-311167567,406355637,379340063,179,1778834048,814889445
462866874,-311167585,406355634,379340049,179,1778834048,938696318
462866999,-311167601,406355634,379340037,179,1778834049,68831271
462867124,-311167617,406355631,379340024,179,1778834049,189641628
462867249,-311167633,406355630,379340013,179,1778834049,315847454
462867375,-311167647,406355628,379340001,179,1778834049,441785140
462867500,-311167662,406355625,379339990,180,1778834049,565083372
462867625,-311167675,406355623,379339979,180,1778834049,690876697
462867750,-311167690,406355621,379339968,180,1778834049,815329852
462867875,-311167705,406355619,379339957,180,1778834049,940519455
462868000,-311167719,406355616,379339944,180,1778834050,70763300
462868125,-311167736,406355612,379339930,180,1778834050,192286741
462868250,-311167754,406355610,379339917,180,1778834050,314209207
462868375,-311167774,406355609,379339903,180,1778834050,440547885
462868500,-311167794,406355606,379339887,180,1778834050,565930591
462868625,-311167815,406355604,379339873,180,1778834050,691934149
462868750,-311167836,406355602,379339857,180,1778834050,815335453
462868875,-311167857,406355597,379339840,180,1778834050,940898976
462869000,-311167880,406355594,379339824,180,1778834051,70358383
462869125,-311167904,406355591,379339807,180,1778834051,188137861
462869250,-311167926,406355588,379339789,180,1778834051,315681871
462869375,-311167948,406355583,379339771,180,1778834051,440539779
462869500,-311167971,406355581,379339755,180,1778834051,566860955
462869625,-311167994,406355577,379339739,180,1778834051,692745328
462869750,-311168015,406355574,379339721,180,1778834051,815226940
462869875,-311168037,406355573,379339704,180,1778834051,940339676
462870000,-311168059,406355569,379339687,180,1778834052,66106019
462870125,-311168081,406355564,379339671,180,1778834052,192014345
462870250,-311168102,406355562,379339654,181,1778834052,316739664
462870375,-311168127,406355560,379339639,181,1778834052,442018665
462870500,-311168150,406355555,379339623,181,1778834052,566145479
462870625,-311168175,406355551,379339606,181,1778834052,690934781
462870750,-311168198,406355546,379339589,181,1778834052,815193625
462870875,-311168222,406355540,379339570,181,1778834052,938767917
462871000,-311168248,406355536,379339555,181,1778834053,70217870
462871125,-311168273,406355533,379339538,181,1778834053,192708938
462871250,-311168296,406355527,379339520,181,1778834053,317368639
462871375,-311168322,406355525,379339504,181,1778834053,440852427
462871500,-311168346,406355520,379339488,181,1778834053,565189079
462871625,-311168370,406355516,379339472,181,1778834053,690821151
462871750,-311168395,406355511,379339454,181,1778834053,814097342
462871875,-311168419,406355507,379339436,181,1778834053,939816186
462872000,-311168444,406355504,379339419,181,1778834054,69732927
462872125,-311168468,406355499,379339401,181,1778834054,191945129
462872250,-311168492,406355495,379339385,181,1778834054,317747223
462872375,-311168515,406355491,379339370,181,1778834054,441095892
462872500,-311168537,406355487,379339357,182,1778834054,567708878
462872625,-311168556,406355482,379339345,182,1778834054,693490780
462872750,-311168573,406355476,379339338,182,1778834054,814689813
462872875,-311168589,406355472,379339330,182,1778834054,942179141
462873000,-311168601,406355465,379339324,182,1778834055,70957507
462873125,-311168613,406355461,379339318,182,1778834055,193112544
462873250,-311168625,406355453,379339313,182,1778834055,318116299
462873375,-311168638,406355450,379339309,182,1778834055,443373418
462873500,-311168649,406355443,379339302,182,1778834055,567859762
462873625,-311168662,406355437,379339298,182,1778834055,690419706
462873750,-311168676,406355432,379339295,182,1778834055,818313827
462873875,-311168691,406355424,379339289,182,1778834055,942584394
462874000,-311168708,406355417,379339284,182,1778834056,73017653
462874125,-311168724,406355406,379339276,182,1778834056,193541906
462874250,-311168743,406355398,379339269,182,1778834056,318066198
462874375,-311168765,406355387,379339261,182,1778834056,441091173
462874500,-311168786,406355376,379339253,182,1778834056,561917949
462874625,-311168810,406355366,379339246,181,1778834056,691817336
462874750,-311168834,406355355,379339237,181,1778834056,816580378
462874875,-311168857,406355343,379339227,181,1778834056,941768974
462875000,-311168882,406355332,379339218,181,1778834057,71904980
462875125,-311168907,406355319,379339208,181,1778834057,192625216
462875250,-311168933,406355308,379339200,181,1778834057,317886721
462875375,-311168958,406355296,379339190,181,1778834057,439919755
462875500,-311168983,406355285,379339179,181,1778834057,567594749
462875625,-311169009,406355274,379339169,181,1778834057,693448164
462875750,-311169035,406355262,379339156,181,1778834057,816685689
462875875,-311169063,406355252,379339145,181,1778834057,941356166
462876000,-311169090,406355241,379339133,181,1778834058,71543478
462876125,-311169117,406355229,379339120,181,1778834058,191950047
462876250,-311169146,406355216,379339108,181,1778834058,317776163
462876375,-311169174,406355204,379339093,181,1778834058,442682090
462876500,-311169204,406355193,379339081,181,1778834058,567427096
462876625,-311169233,406355181,379339067,181,1778834058,691644451
462876750,-311169263,406355169,379339053,181,1778834058,815553373
462876875,-311169290,406355160,379339037,181,1778834058,941056166
462877000,-311169317,406355153,379339023,181,1778834059,72302614
462877125,-311169339,406355147,379339007,181,1778834059,193215281
462877250,-311169360,406355144,379338993,181,1778834059,315041540
462877375,-311169376,406355140,379338977,181,1778834059,441841734
462877500,-311169395,406355140,379338966,181,1778834059,565802702
462877625,-311169410,406355138,379338949,181,1778834059,691362957
462877750,-311169427,406355138,379338937,181,1778834059,815441152
462877875,-311169442,406355137,379338923,181,1778834059,941724278
462878000,-311169459,406355137,379338909,181,1778834060,70075996
462878125,-311169476,406355135,379338895,181,1778834060,188393744
462878250,-311169494,406355133,379338879,181,1778834060,315688703
462878375,-311169515,406355133,379338865,181,1778834060,440036363
462878500,-311169537,406355128,379338851,181,1778834060,565658188
462878625,-311169559,406355120,379338836,181,1778834060,691582185
462878750,-311169586,406355115,379338825,181,1778834060,815417600
462878875,-311169611,406355105,379338809,181,1778834060,941007159
462879000,-311169639,406355095,379338795,181,1778834061,65707644
462879125,-311169669,406355085,379338780,181,1778834061,191357295
462879250,-311169700,406355076,379338765,181,1778834061,316530030
462879375,-311169729,406355066,379338747,182,1778834061,441384562
462879500,-311169761,406355056,379338733,182,1778834061,565587950
462879625,-311169787,406355047,379338717,182,1778834061,690289667
462879750,-311169813,406355041,379338704,182,1778834061,813313426
462879875,-311169837,406355038,379338691,182,1778834061,937701951
462880000,-311169857,406355030,379338674,182,1778834062,70258193
462880125,-311169877,406355025,379338661,182,1778834062,191625720
462880250,-311169898,406355023,379338650,182,1778834062,315625204
462880375,-311169916,406355018,379338638,182,1778834062,439643434
462880500,-311169935,406355015,379338626,182,1778834062,564157302
462880625,-311169952,406355011,379338613,182,1778834062,690356123
462880750,-311169971,406355006,379338601,183,1778834062,814539776
462880875,-311169991,406355002,379338588,183,1778834062,940436510
462881000,-311170011,406354998,379338575,183,1778834063,69636568
462881125,-311170034,406354994,379338561,183,1778834063,189983212
462881250,-311170056,406354987,379338543,183,1778834063,316014875
462881375,-311170080,406354982,379338526,183,1778834063,441573682
462881500,-311170106,406354976,379338508,183,1778834063,566805726
462881625,-311170133,406354971,379338489,183,1778834063,692035893
462881750,-311170162,406354965,379338469,184,1778834063,813449037
462881875,-311170194,406354959,379338446,184,1778834063,940933112
462882000,-311170226,406354952,379338422,184,1778834064,71033396
462882125,-311170261,406354946,379338399,184,1778834064,191981406
462882250,-311170295,406354938,379338371,184,1778834064,317169362
462882375,-311170331,406354933,379338345,184,1778834064,442096758
462882500,-311170368,406354928,379338319,184,1778834064,566739194
462882625,-311170404,406354923,379338291,184,1778834064,687452699
462882750,-311170440,406354917,379338265,185,1778834064,815251635
462882875,-311170475,406354915,379338239,185,1778834064,941241413
462883000,-311170508,406354911,379338214,185,1778834065,71575957
462883125,-311170542,406354908,379338189,185,1778834065,191827011
462883250,-311170577,406354905,379338164,185,1778834065,316350791
462883375,-311170609,406354902,379338139,185,1778834065,439859623
462883500,-311170639,406354898,379338115,185,1778834065,560414794
462883625,-311170669,406354897,379338093,186,1778834065,689999671
462883750,-311170696,406354894,379338075,186,1778834065,815106243
462883875,-311170722,406354890,379338058,186,1778834065,940193617
462884000,-311170745,406354886,379338041,186,1778834066,70065252
462884125,-311170768,406354884,379338024,186,1778834066,190860845
462884250,-311170790,406354880,379338010,186,1778834066,316220453
462884375,-311170810,406354875,379337995,186,1778834066,438462799
462884500,-311170832,406354873,379337979,186,1778834066,564345424
462884625,-311170855,406354871,379337965,186,1778834066,690783574
462884750,-311170875,406354865,379337948,187,1778834066,814114441
462884875,-311170899,406354862,379337932,187,1778834066,939556003
462885000,-311170924,406354859,379337915,187,1778834067,69480391
462885125,-311170950,406354855,379337896,187,1778834067,189869968
462885250,-311170976,406354851,379337877,187,1778834067,315032294
