pinSel,pinBank,pinDir,pinVal,noisePerMS,agcCnt,aStatus,aPower,flags,reserved0,usedMask,VP.len,jamInd,reserved1.len,pinIrq,pullH,pullL,bag_t.secs,bag_t.nsecs
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834033,951810600
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834034,952660879
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834035,951896690
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834036,951913691
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834037,952782950
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834038,952559086
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834039,951919838
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778834040,952599069
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834041,951792243
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834042,952572671
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834043,952678270
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834044,952737173
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834045,951899338
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834046,951925234
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834047,952631951
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834048,952812171
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834049,952028619
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834050,951828515
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834051,952840353
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834052,952991498
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778834053,952487125
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834054,951801406
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834055,951923917
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834056,952402022
33217,65536,32768,26591,84,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834057,951570150
33217,65536,32768,26587,84,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834058,951522080
33217,65536,32768,26587,84,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834059,952382867
33217,65536,32768,26587,84,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834060,951426726
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834061,952328626
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834062,951266516
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834063,952046342
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834064,951964434
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834065,951056871
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834066,951790329
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834067,951587781
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834068,950795387
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834069,951463828
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834070,951185235
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834071,951388364
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834072,950863137
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834073,950937800
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834074,950609128
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778834075,950352444
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834076,950941109
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834077,951367227
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834078,950445510
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834079,951032688
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834080,950144596
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834081,950034578
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778834082,950088702
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834083,949938479
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834084,949955520
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834085,950371278
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834086,949689125
33217,65536,32768,26587,83,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834087,949550739
33217,65536,32768,26591,83,3510,1,2,1,133,131006,17,8,2,0,31707,0,1778834088,950090815
33217,65536,32768,26587,83,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778834089,949824188
33217,65536,32768,26591,83,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834090,949365269
33217,65536,32768,26591,83,3510,1,2,1,133,131006,17,4,2,0,31707,0,1778834091,950372547
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834092,949917758
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834093,949318235
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834094,949948279
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834095,949657755
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,4,2,0,31707,0,1778834096,948989321
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834097,949026288
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834098,948898789
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834099,949709675
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778834100,949395133
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778834101,949510810
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834102,949748825
33217,65536,32768,26591,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834103,948469627
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834104,949389221
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834105,948367406
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834106,948941541
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,5,2,0,31707,0,1778834107,948318685
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778834108,949027969
33217,65536,32768,26587,82,3510,1,2,1,133,131006,17,7,2,0,31707,0,1778834109,948279717
33217,65536,32768,26587,81,3510,1,2,1,133,131006,17,6,2,0,31707,0,1778834110,949111451
33217,65536,32768,26591,76,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834111,948258984
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834112,949236824
33217,65536,32768,26591,66,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834113,948078849
33217,65536,32768,26587,66,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834114,948900203
33217,65536,32768,26587,75,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834115,948985482
33217,65536,32768,26587,76,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834116,948326354
33217,65536,32768,26587,81,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834117,947869506
33217,65536,32768,26587,81,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834118,948673591
33217,65536,32768,26587,81,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834119,947683911
33217,65536,32768,26591,82,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834120,948385070
33217,65536,32768,26591,82,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778834121,947582642
33217,65536,32768,26587,82,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834122,948132491
33217,65536,32768,26587,82,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834123,947654463
33217,65536,32768,26587,82,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834124,947400806
33217,65536,32768,26587,82,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834125,948263621
33217,65536,32768,26591,82,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834126,947285472
33217,65536,32768,26587,83,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778834127,947198902
33217,65536,32768,26587,82,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834128,947751340
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778834129,947026901
33217,65536,32768,26591,83,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778834130,947219164
