header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,bag_t.secs,bag_t.nsecs
2870,1778834033,624507599,gps,360979.8936583949,4065955.9212862784,98.023,0.0,0.0,0.0,0.0,1778834033,690674504
2871,1778834033,749507535,gps,360979.90240808437,4065955.9100471307,98.01,0.0,0.0,0.0,0.0,1778834033,815784577
2872,1778834033,874507470,gps,360979.89347807056,4065955.9101922815,98.005,0.0,0.0,0.0,0.0,1778834033,939685004
2873,1778834033,999507406,gps,360979.90240808437,4065955.9100471307,98.027,0.0,0.0,0.0,0.0,1778834034,66059167
2874,1778834034,124507341,gps,360979.89347807056,4065955.9101922815,98.026,0.0,0.0,0.0,0.0,1778834034,190554353
2875,1778834034,249507276,gps,360979.89329774614,4065955.899098288,98.017,0.0,0.0,0.0,0.0,1778834034,316218628
2876,1778834034,374507212,gps,360979.89329774614,4065955.899098288,98.029,0.0,0.0,0.0,0.0,1778834034,440722998
2877,1778834034,499507147,gps,360979.8929370974,4065955.876910296,98.032,0.0,0.0,0.0,0.0,1778834034,566098092
2878,1778834034,624507083,gps,360979.8929370974,4065955.876910296,98.043,0.0,0.0,0.0,0.0,1778834034,690635025
2879,1778834034,749507018,gps,360979.89311742183,4065955.8880042923,98.043,0.0,0.0,0.0,0.0,1778834034,815720975
2880,1778834034,874506954,gps,360979.90186711133,4065955.876765145,98.057,0.0,0.0,0.0,0.0,1778834034,938286202
2881,1778834034,999506890,gps,360979.8929370974,4065955.876910296,98.026,0.0,0.0,0.0,0.0,1778834035,71262853
2882,1778834035,124506824,gps,360979.90186711133,4065955.876765145,98.041,0.0,0.0,0.0,0.0,1778834035,192000179
2883,1778834035,249506760,gps,360979.90186711133,4065955.876765145,98.042,0.0,0.0,0.0,0.0,1778834035,317193340
2884,1778834035,374506695,gps,360979.8929370974,4065955.876910296,98.06700000000001,0.0,0.0,0.0,0.0,1778834035,440741532
2885,1778834035,499506631,gps,360979.901686787,4065955.8656711513,98.044,0.0,0.0,0.0,0.0,1778834035,566787235
2886,1778834035,624506566,gps,360979.901686787,4065955.8656711513,98.06,0.0,0.0,0.0,0.0,1778834035,692195514
2887,1778834035,749506502,gps,360979.901686787,4065955.8656711513,98.057,0.0,0.0,0.0,0.0,1778834035,815610866
2888,1778834035,874506437,gps,360979.9015064626,4065955.854577156,98.042,0.0,0.0,0.0,0.0,1778834035,939267714
2889,1778834035,999506374,gps,360979.901686787,4065955.8656711513,98.05,0.0,0.0,0.0,0.0,1778834036,69970406
2890,1778834036,124506308,gps,360979.90132613824,4065955.8434831607,98.055,0.0,0.0,0.0,0.0,1778834036,190726889
2891,1778834036,249506243,gps,360979.90132613824,4065955.8434831607,98.063,0.0,0.0,0.0,0.0,1778834036,315849862
2892,1778834036,374506179,gps,360979.8923961243,4065955.843628311,98.046,0.0,0.0,0.0,0.0,1778834036,439915766
2893,1778834036,499506114,gps,360979.9015064626,4065955.854577156,98.039,0.0,0.0,0.0,0.0,1778834036,565292913
2894,1778834036,624506050,gps,360979.90132613824,4065955.8434831607,98.056,0.0,0.0,0.0,0.0,1778834036,691056671
2895,1778834036,749505985,gps,360979.8922158,4065955.832534315,98.058,0.0,0.0,0.0,0.0,1778834036,813134937
2896,1778834036,874505921,gps,360979.8923961243,4065955.843628311,98.058,0.0,0.0,0.0,0.0,1778834036,939791843
2897,1778834036,999505857,gps,360979.8922158,4065955.832534315,98.053,0.0,0.0,0.0,0.0,1778834037,68581393
2898,1778834037,124505791,gps,360979.8922158,4065955.832534315,98.048,0.0,0.0,0.0,0.0,1778834037,191288807
2899,1778834037,249505727,gps,360979.8922158,4065955.832534315,98.059,0.0,0.0,0.0,0.0,1778834037,316166358
2900,1778834037,374505662,gps,360979.8920354757,4065955.82144032,98.065,0.0,0.0,0.0,0.0,1778834037,439801802
2901,1778834037,499505598,gps,360979.8918551513,4065955.8103463245,98.052,0.0,0.0,0.0,0.0,1778834037,565005624
2902,1778834037,624505533,gps,360979.8920354757,4065955.82144032,98.045,0.0,0.0,0.0,0.0,1778834037,686347591
2903,1778834037,749505469,gps,360979.8920354757,4065955.82144032,98.046,0.0,0.0,0.0,0.0,1778834037,814128643
2904,1778834037,874505404,gps,360979.88310546044,4065955.821585471,98.053,0.0,0.0,0.0,0.0,1778834037,940737067
2905,1778834037,999505341,gps,360979.88310546044,4065955.821585471,98.036,0.0,0.0,0.0,0.0,1778834038,70994928
2906,1778834038,124505275,gps,360979.8918551513,4065955.8103463245,98.044,0.0,0.0,0.0,0.0,1778834038,190997710
2907,1778834038,249505210,gps,360979.8918551513,4065955.8103463245,98.047,0.0,0.0,0.0,0.0,1778834038,315732550
2908,1778834038,374505146,gps,360979.8918551513,4065955.8103463245,98.042,0.0,0.0,0.0,0.0,1778834038,439724507
2909,1778834038,499505081,gps,360979.8918551513,4065955.8103463245,98.039,0.0,0.0,0.0,0.0,1778834038,560882214
2910,1778834038,624505017,gps,360979.8918551513,4065955.8103463245,98.051,0.0,0.0,0.0,0.0,1778834038,690314179
2911,1778834038,749504952,gps,360979.89167482697,4065955.7992523303,98.058,0.0,0.0,0.0,0.0,1778834038,815333891
2912,1778834038,874504888,gps,360979.89167482697,4065955.7992523303,98.049,0.0,0.0,0.0,0.0,1778834038,940202294
2913,1778834038,999504824,gps,360979.8827448117,4065955.7993974807,98.052,0.0,0.0,0.0,0.0,1778834039,70023710
