header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance,bag_t.secs,bag_t.nsecs
2873,1778834033,624507599,gps,0.019,-0.011,0.006,0.0,0.0,0.0,0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834033,690585215
2874,1778834033,749507535,gps,0.01,-0.022,0.004,0.0,0.0,0.0,0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834033,815670570
2875,1778834033,874507470,gps,-0.025,-0.011,0.005,0.0,0.0,0.0,0.0361;0.0;0.0;0.0;0.0;0.0;0.0;0.0361;0.0;0.0;0.0;0.0;0.0;0.0;0.0361;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834033,939481608
2876,1778834033,999507406,gps,0.05,-0.028,0.01,0.0,0.0,0.0,0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027556000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,65942344
2877,1778834034,124507341,gps,-0.047,0.022,0.004,0.0,0.0,0.0,0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.027225000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,190427980
2878,1778834034,249507276,gps,-0.024,-0.005,0.0,0.0,0.0,0.0,0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,316091672
2879,1778834034,374507212,gps,-0.017,0.026000000000000002,0.006,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,440615016
2880,1778834034,499507147,gps,-0.004,-0.092,0.006,0.0,0.0,0.0,0.039204;0.0;0.0;0.0;0.0;0.0;0.0;0.039204;0.0;0.0;0.0;0.0;0.0;0.0;0.039204;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,565895355
2881,1778834034,624507083,gps,-0.018000000000000002,-0.016,0.01,0.0,0.0,0.0,0.037249000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.037249000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.037249000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,690438612
2882,1778834034,749507018,gps,-0.003,0.028,0.011,0.0,0.0,0.0,0.034596;0.0;0.0;0.0;0.0;0.0;0.0;0.034596;0.0;0.0;0.0;0.0;0.0;0.0;0.034596;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,815559902
2883,1778834034,874506954,gps,0.011,-0.001,0.016,0.0,0.0,0.0,0.026244;0.0;0.0;0.0;0.0;0.0;0.0;0.026244;0.0;0.0;0.0;0.0;0.0;0.0;0.026244;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834034,938105812
2884,1778834034,999506890,gps,-0.044,-0.012,-0.006,0.0,0.0,0.0,0.034596;0.0;0.0;0.0;0.0;0.0;0.0;0.034596;0.0;0.0;0.0;0.0;0.0;0.0;0.034596;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,71092227
2885,1778834035,124506824,gps,0.035,0.042,0.002,0.0,0.0,0.0,0.04161600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.04161600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.04161600000000001;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,191806038
2886,1778834035,249506760,gps,0.008,-0.005,-0.004,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,317149486
2887,1778834035,374506695,gps,-0.056,0.001,0.007,0.0,0.0,0.0,0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,440606297
2888,1778834035,499506631,gps,0.059000000000000004,-0.023,-0.001,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,566648880
2889,1778834035,624506566,gps,0.004,-0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;0.032761;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,692047854
2890,1778834035,749506502,gps,-0.014,0.017,0.008,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,815451746
2891,1778834035,874506437,gps,0.005,-0.03,-0.011,0.0,0.0,0.0,0.034969;0.0;0.0;0.0;0.0;0.0;0.0;0.034969;0.0;0.0;0.0;0.0;0.0;0.0;0.034969;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834035,939035529
2892,1778834035,999506374,gps,0.026000000000000002,0.016,-0.011,0.0,0.0,0.0,0.04243600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.04243600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.04243600000000001;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834036,69755949
2893,1778834036,124506308,gps,-0.032,-0.042,-0.013000000000000001,0.0,0.0,0.0,0.045369;0.0;0.0;0.0;0.0;0.0;0.0;0.045369;0.0;0.0;0.0;0.0;0.0;0.0;0.045369;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834036,190563121
2894,1778834036,249506243,gps,-0.012,-0.027,-0.004,0.0,0.0,0.0,0.045369;0.0;0.0;0.0;0.0;0.0;0.0;0.045369;0.0;0.0;0.0;0.0;0.0;0.0;0.045369;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778834036,315713229
