iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462851625,3,223,2,8,7124176,7999677,1778834033,694447817
462851750,3,223,2,8,7124176,7999802,1778834033,819353922
462851875,3,223,2,8,7124176,7999927,1778834033,942847107
462852000,3,223,2,8,7124176,8000052,1778834034,69107902
462852125,3,223,2,8,7124176,8000177,1778834034,193773275
462852250,3,223,2,8,7124176,8000302,1778834034,319777383
462852375,3,223,2,8,7124176,8000427,1778834034,444808042
462852500,3,223,2,8,7124176,8000552,1778834034,570660185
462852625,3,223,2,8,7124176,8000677,1778834034,693803631
462852750,3,223,2,8,7124176,8000802,1778834034,818980390
462852875,3,223,2,8,7124176,8000927,1778834034,941411911
462853000,3,223,2,8,7124176,8001052,1778834035,74882374
462853125,3,223,2,8,7124176,8001177,1778834035,195393315
462853250,3,223,2,8,7124176,8001302,1778834035,320544258
462853375,3,223,2,8,7124176,8001427,1778834035,444725022
462853500,3,223,2,8,7124176,8001552,1778834035,570124528
462853625,3,223,2,8,7124176,8001677,1778834035,695588029
462853750,3,223,2,8,7124176,8001802,1778834035,818727413
462853875,3,223,2,8,7124176,8001927,1778834035,942637151
462854000,3,223,2,8,7124176,8002052,1778834036,73183104
462854125,3,223,2,8,7124176,8002177,1778834036,193895639
462854250,3,223,2,8,7124176,8002302,1778834036,319630617
462854375,3,223,2,8,7124176,8002427,1778834036,443616317
462854500,3,223,2,8,7124176,8002552,1778834036,569511023
462854625,3,223,2,8,7124176,8002677,1778834036,694523358
462854750,3,223,2,8,7124176,8002802,1778834036,816781910
462854875,3,223,2,8,7124176,8002927,1778834036,942910049
462855000,3,223,2,8,7124176,8003052,1778834037,73197218
462855125,3,223,2,8,7124176,8003177,1778834037,193216519
462855250,3,223,2,8,7124176,8003302,1778834037,319860124
462855375,3,223,2,8,7124176,8003427,1778834037,442976798
462855500,3,223,2,8,7124176,8003552,1778834037,568516122
462855625,3,223,2,8,7124176,8003677,1778834037,689537611
462855750,3,223,2,8,7124176,8003802,1778834037,817816415
462855875,3,223,2,8,7124176,8003927,1778834037,944786635
462856000,3,223,2,8,7124176,8004052,1778834038,74637312
462856125,3,223,2,8,7124176,8004177,1778834038,194707075
