Latitude,Longitude
36.62548,127.4586828
36.62548,127.4586828
36.62548017,127.4586828
36.62548033,127.458683
36.62548017,127.4586827
36.62548,127.4586827
36.62548,127.4586827
36.6254795,127.4586825
36.625475,127.4586782
36.6254645,127.4586728
36.62545317,127.4586668
36.62544083,127.4586607
36.62542833,127.4586537
36.625416,127.4586467
36.62540383,127.4586395
36.62539167,127.458632
36.62537983,127.4586242
36.6253675,127.4586158
36.62535567,127.458606
36.62534383,127.4585965
36.62533233,127.4585868
36.62532183,127.4585778
36.6253105,127.4585683
36.6252995,127.4585582
36.625288,127.458549
36.625277,127.4585397
36.62526583,127.4585302
36.62525467,127.45852
36.62524333,127.4585102
36.625198,127.4584208
36.62518833,127.4584113
36.625178,127.4584022
36.625168,127.4583925
36.625158,127.458383
36.62514783,127.4583738
36.62513783,127.4583658
36.62512783,127.458358
36.62511783,127.4583483
36.62510817,127.4583375
36.62509883,127.4583282
36.62508933,127.4583205
36.62507917,127.4583128
36.62506917,127.4583057
36.62506017,127.4582978
36.62505183,127.4582903
36.625044,127.4582827
36.62503633,127.4582753
36.62502933,127.458269
36.62502417,127.4582632
36.62502217,127.4582608
