Latitude,Longitude
36.62548,127.4586828
36.62548,127.4586828
36.62548017,127.4586828
36.62548033,127.458683
36.62548017,127.4586827
36.62548,127.4586827
36.62548,127.4586827
36.6254795,127.4586825
36.625475,127.4586782
36.6254645,127.4586728
36.62545317,127.4586668
36.62544083,127.4586607
36.62542833,127.4586537
36.625416,127.4586467
36.62540383,127.4586395
36.62539167,127.458632
36.62537983,127.4586242
36.6253675,127.4586158
36.62535567,127.458606
36.62534383,127.4585965
36.62533233,127.4585868
36.62532183,127.4585778
36.6253105,127.4585683
36.6252995,127.4585582
36.625288,127.458549
36.625277,127.4585397
36.62526583,127.4585302
36.62525467,127.45852
36.62524333,127.4585102
36.62523217,127.4585003
36.625221,127.4584907
36.6252105,127.4584802
36.62519933,127.4584703
36.62518783,127.4584608
36.62517717,127.4584512
36.62516633,127.4584415
36.62515567,127.4584318
36.6251445,127.4584225
36.62513383,127.4584128
36.62512267,127.4584032
36.62511133,127.4583937
36.62510017,127.4583845
36.625089,127.458375
36.62507767,127.4583658
36.625067,127.4583563
36.6250565,127.4583467
36.62504583,127.458337
36.62503533,127.458327
36.6250255,127.4583178
36.6250155,127.458309
36.62500683,127.4583008
36.62499983,127.4582942
36.62499817,127.4582927
36.62499833,127.4582923
36.62499833,127.4582925
36.624998,127.4582927
36.62499783,127.4582927
36.624998,127.4582927
36.624998,127.4582927
36.624998,127.4582927
36.62499783,127.4582925
36.624998,127.4582923
36.624998,127.4582922
36.62499817,127.4582922
36.624998,127.4582922
