header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type,bag_t.secs,bag_t.nsecs
1177,1778833821,624617072,gps,0,0,36.7291506,127.44310689999999,98.383,0.4624000000000001;0.0;0.0;0.0;0.4624000000000001;0.0;0.0;0.0;1.577536,2,1778833821,686209428
1178,1778833821,749617008,gps,0,0,36.7291506,127.44310689999999,98.387,0.4637610000000001;0.0;0.0;0.0;0.4637610000000001;0.0;0.0;0.0;1.582564,2,1778833821,814583087
1179,1778833821,874616943,gps,0,0,36.7291506,127.4431068,98.391,0.4651240000000001;0.0;0.0;0.0;0.4651240000000001;0.0;0.0;0.0;1.5876000000000001,2,1778833821,939125728
1180,1778833821,999616880,gps,0,0,36.7291506,127.443107,98.386,0.4664890000000001;0.0;0.0;0.0;0.4664890000000001;0.0;0.0;0.0;1.5901209999999997,2,1778833822,69720766
1181,1778833822,124616814,gps,0,0,36.7291506,127.44310689999999,98.388,0.46785600000000005;0.0;0.0;0.0;0.46785600000000005;0.0;0.0;0.0;1.5951689999999998,2,1778833822,189956737
1182,1778833822,249616750,gps,0,0,36.7291506,127.44310689999999,98.372,0.46922500000000006;0.0;0.0;0.0;0.46922500000000006;0.0;0.0;0.0;1.6002249999999998,2,1778833822,315303523
1183,1778833822,374616685,gps,0,0,36.7291507,127.443107,98.384,0.47059600000000007;0.0;0.0;0.0;0.47059600000000007;0.0;0.0;0.0;1.6052889999999997,2,1778833822,439034442
1184,1778833822,499616621,gps,0,0,36.7291507,127.443107,98.375,0.47334399999999993;0.0;0.0;0.0;0.47334399999999993;0.0;0.0;0.0;1.6103609999999997,2,1778833822,560122082
1185,1778833822,624616556,gps,0,0,36.7291507,127.44310689999999,98.373,0.47472099999999995;0.0;0.0;0.0;0.47472099999999995;0.0;0.0;0.0;1.6154409999999997,2,1778833822,689113121
1186,1778833822,749616492,gps,0,0,36.7291507,127.44310709999999,98.378,0.4760999999999999;0.0;0.0;0.0;0.4760999999999999;0.0;0.0;0.0;1.6205289999999997,2,1778833822,814949262
1187,1778833822,874616427,gps,0,0,36.7291507,127.443107,98.395,0.47748099999999993;0.0;0.0;0.0;0.47748099999999993;0.0;0.0;0.0;1.6256249999999999,2,1778833822,939939130
1188,1778833822,999616364,gps,0,0,36.7291507,127.443107,98.36,0.47886399999999996;0.0;0.0;0.0;0.47886399999999996;0.0;0.0;0.0;1.6307289999999999,2,1778833823,70067023
1189,1778833823,124616298,gps,0,0,36.7291508,127.44310709999999,98.383,0.4802489999999999;0.0;0.0;0.0;0.4802489999999999;0.0;0.0;0.0;1.6358409999999999,2,1778833823,189467853
1190,1778833823,249616233,gps,0,0,36.7291507,127.443107,98.394,0.48163599999999995;0.0;0.0;0.0;0.48163599999999995;0.0;0.0;0.0;1.640961,2,1778833823,315140980
1191,1778833823,374616169,gps,0,0,36.7291507,127.443107,98.402,0.4830249999999999;0.0;0.0;0.0;0.4830249999999999;0.0;0.0;0.0;1.6460889999999997,2,1778833823,437417767
1192,1778833823,499616104,gps,0,0,36.7291507,127.443107,98.412,0.48441599999999996;0.0;0.0;0.0;0.48441599999999996;0.0;0.0;0.0;1.6512249999999997,2,1778833823,564942097
1193,1778833823,624616040,gps,0,0,36.7291507,127.44310689999999,98.399,0.48580899999999994;0.0;0.0;0.0;0.48580899999999994;0.0;0.0;0.0;1.653796,2,1778833823,689526464
1194,1778833823,749615975,gps,0,0,36.7291507,127.44310689999999,98.411,0.4872039999999999;0.0;0.0;0.0;0.4872039999999999;0.0;0.0;0.0;1.6589440000000002,2,1778833823,813357451
1195,1778833823,874615911,gps,0,0,36.7291507,127.443107,98.411,0.48860099999999995;0.0;0.0;0.0;0.48860099999999995;0.0;0.0;0.0;1.6641000000000001,2,1778833823,938239914
1196,1778833823,999615847,gps,0,0,36.7291507,127.44310689999999,98.4,0.48999999999999994;0.0;0.0;0.0;0.48999999999999994;0.0;0.0;0.0;1.669264,2,1778833824,67337597
1197,1778833824,124615781,gps,0,0,36.7291507,127.44310689999999,98.423,0.4914009999999999;0.0;0.0;0.0;0.4914009999999999;0.0;0.0;0.0;1.674436,2,1778833824,189336894
1198,1778833824,249615717,gps,0,0,36.7291507,127.443107,98.416,0.49420899999999995;0.0;0.0;0.0;0.49420899999999995;0.0;0.0;0.0;1.679616,2,1778833824,315824142
1199,1778833824,374615652,gps,0,0,36.7291507,127.44310709999999,98.43,0.49561599999999995;0.0;0.0;0.0;0.49561599999999995;0.0;0.0;0.0;1.6848040000000002,2,1778833824,439196455
1200,1778833824,499615588,gps,0,0,36.7291507,127.443107,98.434,0.49702499999999994;0.0;0.0;0.0;0.49702499999999994;0.0;0.0;0.0;1.6900000000000002,2,1778833824,564299117
1201,1778833824,624615523,gps,0,0,36.7291508,127.44310689999999,98.437,0.49843599999999993;0.0;0.0;0.0;0.49843599999999993;0.0;0.0;0.0;1.6952040000000002,2,1778833824,688714973
1202,1778833824,749615459,gps,0,0,36.7291508,127.44310689999999,98.43,0.5012639999999999;0.0;0.0;0.0;0.5012639999999999;0.0;0.0;0.0;1.7030249999999998,2,1778833824,813424334
1203,1778833824,874615394,gps,0,0,36.7291508,127.443107,98.421,0.5026809999999999;0.0;0.0;0.0;0.5026809999999999;0.0;0.0;0.0;1.708249,2,1778833824,939273905
1204,1778833824,999615331,gps,0,0,36.7291508,127.443107,98.419,0.5041;0.0;0.0;0.0;0.5041;0.0;0.0;0.0;1.7134809999999998,2,1778833825,69675567
1205,1778833825,124615265,gps,0,0,36.7291508,127.443107,98.411,0.506944;0.0;0.0;0.0;0.506944;0.0;0.0;0.0;1.718721,2,1778833825,190291321
1206,1778833825,249615201,gps,0,0,36.7291508,127.443107,98.432,0.508369;0.0;0.0;0.0;0.508369;0.0;0.0;0.0;1.7265960000000002,2,1778833825,313333978
1207,1778833825,374615136,gps,0,0,36.7291508,127.44310689999999,98.433,0.5097959999999999;0.0;0.0;0.0;0.5097959999999999;0.0;0.0;0.0;1.731856,2,1778833825,438300299
