iTOW,version,numSvs,reserved0.len,sv.len,bag_t.secs,bag_t.nsecs
462640000,1,47,2,47,1778833822,74105022
462642500,1,47,2,47,1778833824,569293930
462645000,1,47,2,47,1778833827,68378626
462647500,1,47,2,47,1778833829,569486964
462650000,1,47,2,47,1778833832,74203084
462652500,1,47,2,47,1778833834,568126496
462655000,1,47,2,47,1778833837,75412023
462657500,1,47,2,47,1778833839,569610234
462660000,1,47,2,47,1778833842,73012339
462662500,1,47,2,47,1778833844,569803646
462665000,1,47,2,47,1778833847,75741940
462667500,1,47,2,47,1778833849,563963976
462670000,1,47,2,47,1778833852,72760026
462672500,1,47,2,47,1778833854,568498750
462675000,1,47,2,47,1778833857,72883568
462677500,1,47,2,47,1778833859,568931954
462680000,1,47,2,47,1778833862,70317869
462682500,1,47,2,47,1778833864,566354253
462685000,1,47,2,47,1778833867,73121730
462687500,1,47,2,47,1778833869,570266129
462690000,1,47,2,47,1778833872,68193466
462692500,1,47,2,47,1778833874,569910400
462695000,1,47,2,47,1778833877,75966827
462697500,1,47,2,47,1778833879,570172860
462700000,1,47,2,47,1778833882,76344341
462702500,1,47,2,47,1778833884,571433956
462705000,1,47,2,47,1778833887,76366571
462707500,1,47,2,47,1778833889,572058718
462710000,1,47,2,47,1778833892,76464645
462712500,1,47,2,47,1778833894,567675854
462715000,1,47,2,47,1778833897,76098221
462717500,1,47,2,47,1778833899,571374272
462720000,1,47,2,47,1778833902,76570895
462722500,1,47,2,47,1778833904,572538981
462725000,1,47,2,47,1778833907,76471201
462727500,1,47,2,47,1778833909,570420578
462730000,1,47,2,47,1778833912,76545778
462732500,1,47,2,47,1778833914,570311078
462735000,1,47,2,47,1778833917,69951613
462737500,1,47,2,47,1778833919,572378532
462740000,1,47,2,47,1778833922,77269070
462742500,1,47,2,47,1778833924,571781750
462745000,1,47,2,47,1778833927,75742685
462747500,1,47,2,47,1778833929,569723116
462750000,1,47,2,47,1778833932,75290646
462752500,1,47,2,47,1778833934,573627171
462755000,1,47,2,47,1778833937,76655055
462757500,1,47,2,47,1778833939,565703176
462760000,1,48,2,48,1778833942,76640372
462762500,1,48,2,48,1778833944,569965612
462765000,1,48,2,48,1778833947,74533238
462767500,1,48,2,48,1778833949,570007634
462770000,1,48,2,48,1778833952,74925833
462772500,1,48,2,48,1778833954,569522659
462775000,1,48,2,48,1778833957,75195969
462777500,1,48,2,48,1778833959,569362323
