iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462639625,382919,516,3,471,1778833821,688965294
462639750,382984,516,3,471,1778833821,817908643
462639875,383049,516,3,470,1778833821,943137626
462640000,383113,516,3,469,1778833822,74120926
462640125,383178,516,3,468,1778833822,193163493
462640250,383242,516,3,468,1778833822,318844448
462640375,383307,516,3,468,1778833822,442293703
462640500,383371,516,3,468,1778833822,564096205
462640625,383436,516,3,468,1778833822,692675854
462640750,383500,516,3,470,1778833822,818658345
462640875,383565,516,3,471,1778833822,944485951
462641000,383629,516,3,472,1778833823,73770095
462641125,383694,516,3,473,1778833823,193326848
462641250,383759,516,3,474,1778833823,318644835
462641375,383823,516,3,476,1778833823,440399420
462641500,383888,516,3,475,1778833823,568615188
462641625,383952,516,3,474,1778833823,693206601
462641750,384017,516,3,474,1778833823,816580343
462641875,384081,516,3,475,1778833823,941799184
462642000,384146,516,3,475,1778833824,70963964
462642125,384210,516,3,474,1778833824,192665235
462642250,384275,516,3,474,1778833824,319110521
462642375,384340,516,3,475,1778833824,443025557
462642500,384404,516,3,476,1778833824,569306607
462642625,384469,516,3,477,1778833824,691959705
462642750,384533,516,3,481,1778833824,816803047
462642875,384598,516,3,483,1778833824,943832705
462643000,384662,516,3,484,1778833825,73099023
462643125,384727,516,3,486,1778833825,193942277
462643250,384791,516,3,486,1778833825,316631476
462643375,384856,516,3,487,1778833825,441720348
462643500,384920,516,3,489,1778833825,567815508
462643625,384985,516,3,488,1778833825,693134483
462643750,385050,516,3,489,1778833825,818772398
462643875,385114,516,3,486,1778833825,944111820
462644000,385179,516,3,485,1778833826,72603716
462644125,385243,516,3,483,1778833826,188075401
462644250,385308,516,3,483,1778833826,319197191
462644375,385372,516,3,483,1778833826,444029631
462644500,385437,516,3,483,1778833826,569443120
462644625,385501,516,3,482,1778833826,694288114
462644750,385566,516,3,481,1778833826,816166516
462644875,385630,516,3,481,1778833826,941060059
462645000,385695,516,3,479,1778833827,68520973
462645125,385760,516,3,479,1778833827,193036213
462645250,385824,517,3,482,1778833827,319576825
462645375,385889,517,3,484,1778833827,444156045
462645500,385953,516,3,485,1778833827,568877873
462645625,386018,516,3,485,1778833827,692222888
462645750,386082,516,3,486,1778833827,817794022
462645875,386147,517,3,486,1778833827,939977216
462646000,386212,516,3,487,1778833828,73806296
462646125,386276,516,3,487,1778833828,194198717
462646250,386341,517,3,485,1778833828,319089122
462646375,386405,516,3,484,1778833828,443259696
462646500,386470,517,3,484,1778833828,568722995
462646625,386534,517,3,483,1778833828,692780906
462646750,386599,517,3,482,1778833828,818080396
462646875,386663,516,3,482,1778833828,944107626
462647000,386728,516,3,481,1778833829,73175986
462647125,386792,516,3,481,1778833829,192017775
462647250,386857,516,3,480,1778833829,318017676
462647375,386922,516,3,480,1778833829,441773535
462647500,386986,516,3,480,1778833829,569499879
462647625,387051,516,3,477,1778833829,692726336
462647750,387115,516,3,477,1778833829,813119172
462647875,387180,516,3,476,1778833829,940716316
462648000,387244,517,3,476,1778833830,69156769
462648125,387309,516,3,479,1778833830,192231417
462648250,387373,517,3,481,1778833830,318736608
462648375,387438,517,3,479,1778833830,443842283
462648500,387503,517,3,478,1778833830,568100595
462648625,387567,517,3,477,1778833830,688706999
462648750,387632,517,3,476,1778833830,816905447
462648875,387696,517,3,477,1778833830,941710586
462649000,387761,517,3,478,1778833831,72084394
462649125,387825,517,3,477,1778833831,192037858
462649250,387890,517,3,478,1778833831,317704886
462649375,387955,517,3,478,1778833831,440851733
462649500,388019,517,3,479,1778833831,561940206
462649625,388084,517,3,479,1778833831,691173385
462649750,388148,517,3,479,1778833831,817721162
462649875,388213,517,3,480,1778833831,943214607
462650000,388278,517,3,482,1778833832,74214834
462650125,388342,517,3,483,1778833832,192131782
462650250,388407,517,3,482,1778833832,318202918
462650375,388471,517,3,483,1778833832,439571498
462650500,388536,517,3,484,1778833832,568610821
462650625,388600,517,3,485,1778833832,693239559
462650750,388665,517,3,492,1778833832,815791592
462650875,388730,517,3,497,1778833832,940250156
462651000,388794,517,3,500,1778833833,70873157
462651125,388859,517,4,502,1778833833,191732004
462651250,388923,517,4,502,1778833833,318001900
462651375,388988,517,4,501,1778833833,442107665
462651500,389052,517,4,502,1778833833,567151705
462651625,389117,517,4,503,1778833833,691100121
462651750,389182,517,4,502,1778833833,816167718
462651875,389246,516,4,504,1778833833,941007954
462652000,389311,516,4,506,1778833834,71322332
462652125,389375,516,4,507,1778833834,192710763
462652250,389440,517,4,507,1778833834,315460540
462652375,389504,516,4,504,1778833834,440975654
462652500,389569,517,4,502,1778833834,568139109
462652625,389633,516,4,501,1778833834,691556205
462652750,389698,517,4,500,1778833834,816591380
462652875,389762,517,4,500,1778833834,942023167
462653000,389827,517,4,499,1778833835,73187460
462653125,389892,517,4,499,1778833835,188501274
462653250,389956,517,4,500,1778833835,318242614
462653375,390021,517,4,499,1778833835,441314029
462653500,390085,517,4,500,1778833835,569030790
462653625,390150,517,4,500,1778833835,694095516
462653750,390214,517,4,498,1778833835,819070249
462653875,390279,517,4,497,1778833835,944015091
