iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462653125,3,223,2,8,7124176,7801177,1778833835,188495671
462653250,3,223,2,8,7124176,7801302,1778833835,318241596
462653375,3,223,2,8,7124176,7801427,1778833835,441242279
462653500,3,223,2,8,7124176,7801552,1778833835,569019631
462653625,3,223,2,8,7124176,7801677,1778833835,694090728
462653750,3,223,2,8,7124176,7801802,1778833835,819057039
462653875,3,223,2,8,7124176,7801927,1778833835,944005896
462654000,3,223,2,8,7124176,7802052,1778833836,68751385
462654125,3,223,2,8,7124176,7802177,1778833836,194126034
462654250,3,223,2,8,7124176,7802302,1778833836,320118086
462654375,3,223,2,8,7124176,7802427,1778833836,446131780
462654500,3,223,2,8,7124176,7802552,1778833836,570032704
462654625,3,223,2,8,7124176,7802677,1778833836,693963304
462654750,3,223,2,8,7124176,7802802,1778833836,818978512
462654875,3,223,2,8,7124176,7802927,1778833836,941784388
462655000,3,223,2,8,7124176,7803052,1778833837,75420749
462655125,3,223,2,8,7124176,7803177,1778833837,195196117
462655250,3,223,2,8,7124176,7803302,1778833837,320095510
462655375,3,223,2,8,7124176,7803427,1778833837,443372096
462655500,3,223,2,8,7124176,7803552,1778833837,568886076
462655625,3,223,2,8,7124176,7803677,1778833837,693228088
462655750,3,223,2,8,7124176,7803802,1778833837,819191687
462655875,3,223,2,8,7124176,7803927,1778833837,945074294
462656000,3,223,2,8,7124176,7804052,1778833838,74738144
462656125,3,223,2,8,7124176,7804177,1778833838,194075756
462656250,3,223,2,8,7124176,7804302,1778833838,320007289
462656375,3,223,2,8,7124176,7804427,1778833838,444971970
462656500,3,223,2,8,7124176,7804552,1778833838,570184632
462656625,3,223,2,8,7124176,7804677,1778833838,694935542
462656750,3,223,2,8,7124176,7804802,1778833838,816046916
462656875,3,223,2,8,7124176,7804927,1778833838,942114721
462657000,3,223,2,8,7124176,7805052,1778833839,72614069
462657125,3,223,2,8,7124176,7805177,1778833839,193686579
462657250,3,223,2,8,7124176,7805302,1778833839,318731473
462657375,3,223,2,8,7124176,7805427,1778833839,443265554
462657500,3,223,2,8,7124176,7805552,1778833839,569726740
462657625,3,223,2,8,7124176,7805677,1778833839,689238843
462657750,3,223,2,8,7124176,7805802,1778833839,817151110
462657875,3,223,2,8,7124176,7805927,1778833839,942426343
462658000,3,223,2,8,7124176,7806052,1778833840,73809387
462658125,3,223,2,8,7124176,7806177,1778833840,193253497
462658250,3,223,2,8,7124176,7806302,1778833840,319169715
462658375,3,223,2,8,7124176,7806427,1778833840,442252567
462658500,3,223,2,8,7124176,7806552,1778833840,564740356
462658625,3,223,2,8,7124176,7806677,1778833840,691829221
462658750,3,223,2,8,7124176,7806802,1778833840,817884981
462658875,3,223,2,8,7124176,7806927,1778833840,942307728
462659000,3,223,2,8,7124176,7807052,1778833841,72629863
462659125,3,223,2,8,7124176,7807177,1778833841,191964668
462659250,3,223,2,8,7124176,7807302,1778833841,317257807
462659375,3,223,2,8,7124176,7807427,1778833841,439911615
462659500,3,223,2,8,7124176,7807552,1778833841,567364422
462659625,3,223,2,8,7124176,7807677,1778833841,692341077
462659750,3,223,2,8,7124176,7807802,1778833841,816637762
