header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance,bag_t.secs,bag_t.nsecs
1548,1778833867,999593111,gps,2.111,-2.242,-0.084,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,68392335
1549,1778833868,124593046,gps,2.109,-2.254,-0.10200000000000001,0.0,0.0,0.0,0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,187668284
1550,1778833868,249592981,gps,2.166,-2.293,-0.10300000000000001,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,313960594
1551,1778833868,374592917,gps,2.203,-2.331,-0.109,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,436316644
1552,1778833868,499592852,gps,2.331,-2.443,-0.094,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,564458376
1553,1778833868,624592787,gps,2.346,-2.508,-0.109,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,689449946
1554,1778833868,749592723,gps,2.438,-2.677,-0.109,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,812453958
1555,1778833868,874592658,gps,2.54,-2.699,-0.121,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833868,937265043
1556,1778833868,999592595,gps,2.588,-2.828,-0.11800000000000001,0.0,0.0,0.0,0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.030625000000000006;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,67174951
1557,1778833869,124592529,gps,2.6390000000000002,-2.902,-0.135,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,189130182
1558,1778833869,249592464,gps,2.743,-2.971,-0.127,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,315395429
1559,1778833869,374592400,gps,2.708,-3.0340000000000003,-0.127,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,441303676
1560,1778833869,499592335,gps,2.743,-3.0,-0.136,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,565567955
1561,1778833869,624592271,gps,2.699,-3.0060000000000002,-0.13,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,689990251
1562,1778833869,749592206,gps,2.682,-3.044,-0.122,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,814201990
1563,1778833869,874592141,gps,2.638,-2.931,-0.11800000000000001,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833869,939715228
1564,1778833869,999592078,gps,2.617,-2.831,-0.117,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,70351154
1565,1778833870,124592012,gps,2.495,-2.735,-0.109,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,190300698
1566,1778833870,249591947,gps,2.481,-2.583,-0.108,0.0,0.0,0.0,0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.030276000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,314033692
1567,1778833870,374591883,gps,2.49,-2.423,-0.107,0.0,0.0,0.0,0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.029584000000000006;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,439123727
1568,1778833870,499591818,gps,2.583,-2.125,-0.115,0.0,0.0,0.0,0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.029929000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,562596608
