header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,bag_t.secs,bag_t.nsecs
1218,1778833827,124614232,gps,360979.0650565726,4065956.600570184,98.452,0.0,0.0,0.0,0.0,1778833827,189620422
1219,1778833827,249614168,gps,360979.0650565726,4065956.600570184,98.473,0.0,0.0,0.0,0.0,1778833827,316194932
1220,1778833827,374614103,gps,360979.0650565726,4065956.600570184,98.467,0.0,0.0,0.0,0.0,1778833827,440215069
1221,1778833827,499614039,gps,360979.0650565726,4065956.600570184,98.456,0.0,0.0,0.0,0.0,1778833827,565111945
1222,1778833827,624613974,gps,360979.073986587,4065956.600425033,98.48100000000001,0.0,0.0,0.0,0.0,1778833827,689266726
1223,1778833827,749613910,gps,360979.07416691247,4065956.611519028,98.482,0.0,0.0,0.0,0.0,1778833827,814447490
1224,1778833827,874613845,gps,360979.0650565726,4065956.600570184,98.488,0.0,0.0,0.0,0.0,1778833827,937272158
1225,1778833827,999613781,gps,360979.06523689814,4065956.6116641797,98.47500000000001,0.0,0.0,0.0,0.0,1778833828,70021776
1226,1778833828,124613716,gps,360979.073986587,4065956.600425033,98.462,0.0,0.0,0.0,0.0,1778833828,190212803
1227,1778833828,249613651,gps,360979.0650565726,4065956.600570184,98.5,0.0,0.0,0.0,0.0,1778833828,315502548
1228,1778833828,374613587,gps,360979.07416691247,4065956.611519028,98.467,0.0,0.0,0.0,0.0,1778833828,439387087
1229,1778833828,499613522,gps,360979.07416691247,4065956.611519028,98.477,0.0,0.0,0.0,0.0,1778833828,564919201
1230,1778833828,624613458,gps,360979.07416691247,4065956.611519028,98.461,0.0,0.0,0.0,0.0,1778833828,689485764
1231,1778833828,749613393,gps,360979.07416691247,4065956.611519028,98.455,0.0,0.0,0.0,0.0,1778833828,814851763
1232,1778833828,874613329,gps,360979.07416691247,4065956.611519028,98.46000000000001,0.0,0.0,0.0,0.0,1778833828,940204291
1233,1778833828,999613265,gps,360979.07416691247,4065956.611519028,98.44,0.0,0.0,0.0,0.0,1778833829,69909557
1234,1778833829,124613200,gps,360979.08309692563,4065956.6113738767,98.449,0.0,0.0,0.0,0.0,1778833829,188905544
1235,1778833829,249613135,gps,360979.0832772511,4065956.6224678727,98.44500000000001,0.0,0.0,0.0,0.0,1778833829,314526210
1236,1778833829,374613070,gps,360979.08309692563,4065956.6113738767,98.437,0.0,0.0,0.0,0.0,1778833829,438526314
1237,1778833829,499613006,gps,360979.08309692563,4065956.6113738767,98.452,0.0,0.0,0.0,0.0,1778833829,565030452
1238,1778833829,624612941,gps,360979.07434723794,4065956.6226130235,98.441,0.0,0.0,0.0,0.0,1778833829,688891108
1239,1778833829,749612877,gps,360979.08309692563,4065956.6113738767,98.426,0.0,0.0,0.0,0.0,1778833829,809634362
1240,1778833829,874612812,gps,360979.09220726544,4065956.622322721,98.431,0.0,0.0,0.0,0.0,1778833829,936917316
1241,1778833829,999612749,gps,360979.07434723794,4065956.6226130235,98.44500000000001,0.0,0.0,0.0,0.0,1778833830,66396829
1242,1778833830,124612683,gps,360979.0834575765,4065956.6335618673,98.429,0.0,0.0,0.0,0.0,1778833830,189222002
1243,1778833830,249612619,gps,360979.0834575765,4065956.6335618673,98.411,0.0,0.0,0.0,0.0,1778833830,315271622
1244,1778833830,374612554,gps,360979.0832772511,4065956.6224678727,98.416,0.0,0.0,0.0,0.0,1778833830,439768227
1245,1778833830,499612489,gps,360979.0834575765,4065956.6335618673,98.428,0.0,0.0,0.0,0.0,1778833830,564577732
1246,1778833830,624612425,gps,360979.0834575765,4065956.6335618673,98.407,0.0,0.0,0.0,0.0,1778833830,686110928
1247,1778833830,749612360,gps,360979.07452756347,4065956.6337070186,98.416,0.0,0.0,0.0,0.0,1778833830,813639927
1248,1778833830,874612296,gps,360979.0834575765,4065956.6335618673,98.416,0.0,0.0,0.0,0.0,1778833830,938605107
1249,1778833830,999612232,gps,360979.0834575765,4065956.6335618673,98.426,0.0,0.0,0.0,0.0,1778833831,69060391
1250,1778833831,124612167,gps,360979.0925679164,4065956.6445107115,98.394,0.0,0.0,0.0,0.0,1778833831,189031136
1251,1778833831,249612102,gps,360979.0834575765,4065956.6335618673,98.411,0.0,0.0,0.0,0.0,1778833831,314480687
1252,1778833831,374612037,gps,360979.0834575765,4065956.6335618673,98.429,0.0,0.0,0.0,0.0,1778833831,437585667
1253,1778833831,499611973,gps,360979.09220726544,4065956.622322721,98.405,0.0,0.0,0.0,0.0,1778833831,559192495
1254,1778833831,624611908,gps,360979.09220726544,4065956.622322721,98.401,0.0,0.0,0.0,0.0,1778833831,688300784
1255,1778833831,749611844,gps,360979.09202693996,4065956.611228726,98.422,0.0,0.0,0.0,0.0,1778833831,814356227
1256,1778833831,874611779,gps,360979.10095695313,4065956.6110835737,98.44,0.0,0.0,0.0,0.0,1778833831,939480926
1257,1778833831,999611715,gps,360979.1007766277,4065956.599989578,98.435,0.0,0.0,0.0,0.0,1778833832,69809667
1258,1778833832,124611650,gps,360979.1095263154,4065956.5887504322,98.418,0.0,0.0,0.0,0.0,1778833832,189148997
1259,1778833832,249611585,gps,360979.10934599,4065956.577656437,98.44800000000001,0.0,0.0,0.0,0.0,1778833832,315111798
1260,1778833832,374611521,gps,360979.1272060176,4065956.577366134,98.42,0.0,0.0,0.0,0.0,1778833832,436868568
1261,1778833832,499611456,gps,360979.1270256922,4065956.5662721386,98.443,0.0,0.0,0.0,0.0,1778833832,565016453
1262,1778833832,624611392,gps,360979.14452506904,4065956.543793846,98.435,0.0,0.0,0.0,0.0,1778833832,689540030
1263,1778833832,749611327,gps,360979.15327475814,4065956.5325546986,98.42,0.0,0.0,0.0,0.0,1778833832,813001090
1264,1778833832,874611262,gps,360979.1530944328,4065956.521460703,98.441,0.0,0.0,0.0,0.0,1778833832,937240446
1265,1778833832,999611199,gps,360979.1618441207,4065956.510221557,98.416,0.0,0.0,0.0,0.0,1778833833,67720841
1266,1778833833,124611133,gps,360979.1704134832,4065956.487888415,98.45400000000001,0.0,0.0,0.0,0.0,1778833833,188454737
1267,1778833833,249611069,gps,360979.1970232002,4065956.476358967,98.418,0.0,0.0,0.0,0.0,1778833833,314893372
1268,1778833833,374611004,gps,360979.18773253507,4065956.454316127,98.438,0.0,0.0,0.0,0.0,1778833833,439167815
1269,1778833833,499610940,gps,360979.20541223756,4065956.442931828,98.417,0.0,0.0,0.0,0.0,1778833833,563512519
1270,1778833833,624610875,gps,360979.2230919403,4065956.4315475314,98.425,0.0,0.0,0.0,0.0,1778833833,687889057
1271,1778833833,749610810,gps,360979.21398160036,4065956.4205986867,98.44200000000001,0.0,0.0,0.0,0.0,1778833833,813299264
1272,1778833833,874610746,gps,360979.2225509644,4065956.398265545,98.43,0.0,0.0,0.0,0.0,1778833833,938057476
1273,1778833833,999610682,gps,360979.2402306671,4065956.386881248,98.407,0.0,0.0,0.0,0.0,1778833834,68270615
1274,1778833834,124610617,gps,360979.25809069513,4065956.386590945,98.416,0.0,0.0,0.0,0.0,1778833834,189472970
1275,1778833834,249610552,gps,360979.25773004466,4065956.364402955,98.402,0.0,0.0,0.0,0.0,1778833834,312305177
1276,1778833834,374610488,gps,360979.2575497194,4065956.353308959,98.422,0.0,0.0,0.0,0.0,1778833834,437690927
1277,1778833834,499610423,gps,360979.2841594357,4065956.341779511,98.406,0.0,0.0,0.0,0.0,1778833834,562606931
1278,1778833834,624610359,gps,360979.2841594357,4065956.341779511,98.396,0.0,0.0,0.0,0.0,1778833834,688438490
1279,1778833834,749610294,gps,360979.29290912393,4065956.330540364,98.387,0.0,0.0,0.0,0.0,1778833834,813575058
1280,1778833834,874610230,gps,360979.3016588135,4065956.3193012173,98.399,0.0,0.0,0.0,0.0,1778833834,939363868
1281,1778833834,999610166,gps,360979.3014784883,4065956.3082072227,98.388,0.0,0.0,0.0,0.0,1778833835,69799279
1282,1778833835,124610100,gps,360979.31040850177,4065956.3080620714,98.38,0.0,0.0,0.0,0.0,1778833835,185384516
1283,1778833835,249610036,gps,360979.31040850177,4065956.3080620714,98.371,0.0,0.0,0.0,0.0,1778833835,315181505
1284,1778833835,374609971,gps,360979.31915819005,4065956.2968229246,98.38,0.0,0.0,0.0,0.0,1778833835,438293031
1285,1778833835,499609907,gps,360979.3189778649,4065956.2857289286,98.366,0.0,0.0,0.0,0.0,1778833835,565426496
1286,1778833835,624609842,gps,360979.3279078796,4065956.285583778,98.35300000000001,0.0,0.0,0.0,0.0,1778833835,690342995
1287,1778833835,749609778,gps,360979.33683789306,4065956.285438626,98.358,0.0,0.0,0.0,0.0,1778833835,815509979
1288,1778833835,874609713,gps,360979.3454072576,4065956.2631054856,98.358,0.0,0.0,0.0,0.0,1778833835,939936982
1289,1778833835,999609649,gps,360979.36308696074,4065956.251721188,98.339,0.0,0.0,0.0,0.0,1778833836,65285197
1290,1778833836,124609584,gps,360979.36308696074,4065956.251721188,98.34,0.0,0.0,0.0,0.0,1778833836,190554933
1291,1778833836,249609519,gps,360979.37165632413,4065956.2293880475,98.34400000000001,0.0,0.0,0.0,0.0,1778833836,317076911
1292,1778833836,374609455,gps,360979.38951635244,4065956.2290977444,98.33200000000001,0.0,0.0,0.0,0.0,1778833836,441590364
1293,1778833836,499609390,gps,360979.39808571595,4065956.206764604,98.33500000000001,0.0,0.0,0.0,0.0,1778833836,567160136
1294,1778833836,624609326,gps,360979.41576541925,4065956.195380306,98.336,0.0,0.0,0.0,0.0,1778833836,690294218
1295,1778833836,749609261,gps,360979.4334451227,4065956.1839960087,98.336,0.0,0.0,0.0,0.0,1778833836,815626564
1296,1778833836,874609196,gps,360979.44201448624,4065956.161662867,98.337,0.0,0.0,0.0,0.0,1778833836,938852441
