iTOW,year,month,day,hour,min,sec,valid,tAcc,nano,fixType,flags,flags2,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,heading,sAcc,headAcc,pDOP,reserved1.len,headVeh,magDec,magAcc,bag_t.secs,bag_t.nsecs
462639625,2026,5,15,8,30,21,55,24,624617072,3,3,234,28,1274431069,367291506,98383,78458,680,1256,4,-22,10,23,14521998,172,18000000,115,6,0,0,0,1778833821,686209425
462639750,2026,5,15,8,30,21,55,24,749617008,3,3,234,28,1274431069,367291506,98387,78462,681,1258,-7,18,3,19,14521998,169,18000000,115,6,0,0,0,1778833821,814577628
462639875,2026,5,15,8,30,21,55,24,874616943,3,3,234,28,1274431068,367291506,98391,78466,682,1260,-18,-43,1,47,14521998,194,18000000,115,6,0,0,0,1778833821,939114999
462640000,2026,5,15,8,30,22,55,24,-383120,3,3,234,28,1274431070,367291506,98386,78461,683,1261,-1,41,-3,41,14521998,179,18000000,115,6,0,0,0,1778833822,69712539
462640125,2026,5,15,8,30,22,55,24,124616814,3,3,234,28,1274431069,367291506,98388,78463,684,1263,16,-14,8,22,14521998,165,18000000,115,6,0,0,0,1778833822,189947928
462640250,2026,5,15,8,30,22,55,24,249616750,3,3,234,28,1274431069,367291506,98372,78447,685,1265,6,17,18,18,14521998,174,18000000,115,6,0,0,0,1778833822,315294685
462640375,2026,5,15,8,30,22,55,24,374616685,3,3,234,28,1274431070,367291507,98384,78460,686,1267,27,10,2,28,14521998,189,18000000,115,6,0,0,0,1778833822,439033469
462640500,2026,5,15,8,30,22,55,24,499616621,3,3,234,28,1274431070,367291507,98375,78450,688,1269,34,-1,5,34,14521998,179,18000000,114,6,0,0,0,1778833822,560108422
462640625,2026,5,15,8,30,22,55,24,624616556,3,3,234,28,1274431069,367291507,98373,78449,689,1271,13,-18,14,22,14521998,164,18000000,114,6,0,0,0,1778833822,689106603
462640750,2026,5,15,8,30,22,55,24,749616492,3,3,234,28,1274431071,367291507,98378,78453,690,1273,-29,75,17,80,14521998,169,13539564,114,6,0,0,0,1778833822,814942065
462640875,2026,5,15,8,30,22,55,24,874616427,3,3,234,28,1274431070,367291507,98395,78471,691,1275,6,-6,-3,9,14521998,167,18000000,114,6,0,0,0,1778833822,939929161
462641000,2026,5,15,8,30,23,55,24,-383636,3,3,234,28,1274431070,367291507,98360,78435,692,1277,23,4,17,23,14521998,179,18000000,114,6,0,0,0,1778833823,70067341
462641125,2026,5,15,8,30,23,55,24,124616298,3,3,234,28,1274431071,367291508,98383,78458,693,1279,25,8,5,26,14521998,190,18000000,114,6,0,0,0,1778833823,189459053
462641250,2026,5,15,8,30,23,55,24,249616233,3,3,234,28,1274431070,367291507,98394,78469,694,1281,-20,-12,0,24,14521998,194,18000000,114,6,0,0,0,1778833823,315133276
462641375,2026,5,15,8,30,23,55,24,374616169,3,3,234,28,1274431070,367291507,98402,78478,695,1283,-36,1,-5,36,14521998,187,18000000,114,6,0,0,0,1778833823,437406483
462641500,2026,5,15,8,30,23,55,24,499616104,3,3,234,28,1274431070,367291507,98412,78487,696,1285,21,-34,-12,40,14521998,167,18000000,114,6,0,0,0,1778833823,564941605
462641625,2026,5,15,8,30,23,55,24,624616040,3,3,234,28,1274431069,367291507,98399,78474,697,1286,-30,-22,-7,38,14521998,197,18000000,114,6,0,0,0,1778833823,689511049
462641750,2026,5,15,8,30,23,55,24,749615975,3,3,234,28,1274431069,367291507,98411,78486,698,1288,-22,-24,-11,32,14521998,193,18000000,114,6,0,0,0,1778833823,813350184
462641875,2026,5,15,8,30,23,55,24,874615911,3,3,234,28,1274431070,367291507,98411,78487,699,1290,43,26,-8,50,14521998,197,18000000,114,6,0,0,0,1778833823,938233277
462642000,2026,5,15,8,30,24,55,24,-384153,3,3,234,28,1274431069,367291507,98400,78476,700,1292,4,-20,-3,20,14521998,173,18000000,114,6,0,0,0,1778833824,67330242
462642125,2026,5,15,8,30,24,55,24,124615781,3,3,234,28,1274431069,367291507,98423,78498,701,1294,15,-13,-17,20,14521998,164,18000000,114,6,0,0,0,1778833824,189326121
462642250,2026,5,15,8,30,24,55,24,249615717,3,3,234,28,1274431070,367291507,98416,78491,703,1296,-22,56,-10,60,14521998,173,18000000,114,6,0,0,0,1778833824,315811441
462642375,2026,5,15,8,30,24,55,24,374615652,3,3,234,28,1274431071,367291507,98430,78505,704,1298,-7,42,-19,43,14521998,180,18000000,114,6,0,0,0,1778833824,439190815
462642500,2026,5,15,8,30,24,55,24,499615588,3,3,234,28,1274431070,367291507,98434,78509,705,1300,21,-43,-21,48,14521998,173,18000000,114,6,0,0,0,1778833824,564286637
462642625,2026,5,15,8,30,24,55,24,624615523,3,3,234,28,1274431069,367291508,98437,78512,706,1302,21,-35,-18,40,14521998,172,18000000,114,6,0,0,0,1778833824,688701772
462642750,2026,5,15,8,30,24,55,24,749615459,3,3,234,28,1274431069,367291508,98430,78506,708,1305,-4,12,-3,13,14521998,182,18000000,114,6,0,0,0,1778833824,813407382
462642875,2026,5,15,8,30,24,55,24,874615394,3,3,234,28,1274431070,367291508,98421,78496,709,1307,-8,9,-1,12,14521998,174,18000000,114,6,0,0,0,1778833824,939266060
462643000,2026,5,15,8,30,25,55,24,-384669,3,3,234,28,1274431070,367291508,98419,78494,710,1309,3,2,2,4,14521998,202,18000000,114,6,0,0,0,1778833825,69667462
462643125,2026,5,15,8,30,25,55,24,124615265,3,3,234,28,1274431070,367291508,98411,78486,712,1311,20,-1,8,20,14521998,193,18000000,114,6,0,0,0,1778833825,190281143
462643250,2026,5,15,8,30,25,55,24,249615201,3,3,234,28,1274431070,367291508,98432,78507,713,1314,-5,-4,-10,7,14521998,194,18000000,114,6,0,0,0,1778833825,313319211
462643375,2026,5,15,8,30,25,55,24,374615136,3,3,234,28,1274431069,367291508,98433,78508,714,1316,11,-4,-3,12,14521998,180,18000000,114,6,0,0,0,1778833825,438288634
462643500,2026,5,15,8,30,25,55,24,499615072,3,3,234,28,1274431069,367291509,98425,78500,716,1318,45,-16,-3,47,14521998,184,18000000,114,6,0,0,0,1778833825,564015438
462643625,2026,5,15,8,30,25,55,24,624615007,3,3,234,28,1274431069,367291508,98432,78508,717,1320,-33,8,-4,33,14521998,186,18000000,114,6,0,0,0,1778833825,689674792
462643750,2026,5,15,8,30,25,55,24,749614942,3,3,234,28,1274431070,367291508,98443,78518,718,1322,-6,26,-8,26,14521998,184,18000000,114,6,0,0,0,1778833825,815211421
462643875,2026,5,15,8,30,25,55,24,874614878,3,3,234,28,1274431069,367291508,98458,78533,720,1324,-25,-25,-16,36,14521998,202,18000000,114,6,0,0,0,1778833825,940026267
462644000,2026,5,15,8,30,26,55,24,-385186,3,3,234,28,1274431068,367291508,98462,78538,721,1326,6,-55,-17,55,14521998,181,18000000,114,6,0,0,0,1778833826,69105295
462644125,2026,5,15,8,30,26,55,24,124614749,3,3,234,28,1274431068,367291508,98459,78534,722,1328,-12,-6,-13,13,14521998,189,18000000,114,6,0,0,0,1778833826,184774314
462644250,2026,5,15,8,30,26,55,24,249614684,3,3,234,28,1274431069,367291507,98457,78532,723,1330,-27,31,-11,41,14521998,174,18000000,114,6,0,0,0,1778833826,315831794
462644375,2026,5,15,8,30,26,55,24,374614620,3,3,234,28,1274431070,367291508,98476,78551,724,1332,3,27,-25,28,14521998,176,18000000,114,6,0,0,0,1778833826,439755919
462644500,2026,5,15,8,30,26,55,24,499614555,3,3,234,28,1274431069,367291507,98458,78533,726,1334,-23,-32,-10,39,14521998,205,18000000,114,6,0,0,0,1778833826,566343287
462644625,2026,5,15,8,30,26,55,24,624614491,3,3,234,28,1274431069,367291507,98450,78525,727,1336,-13,7,0,15,14521998,178,18000000,114,6,0,0,0,1778833826,690054521
462644750,2026,5,15,8,30,26,55,24,749614426,3,3,234,28,1274431069,367291508,98448,78523,728,1338,35,-12,-3,37,14521998,182,18000000,114,6,0,0,0,1778833826,813407885
462644875,2026,5,15,8,30,26,55,24,874614362,3,3,234,28,1274431068,367291508,98444,78520,729,1339,25,-37,-1,45,14521998,170,18000000,114,6,0,0,0,1778833826,937321130
462645000,2026,5,15,8,30,27,55,24,-385702,3,3,234,28,1274431068,367291508,98459,78534,730,1341,6,7,-5,9,14521998,199,18000000,114,6,0,0,0,1778833827,63895778
462645125,2026,5,15,8,30,27,55,24,124614232,3,3,234,28,1274431069,367291508,98452,78527,731,1343,-16,20,5,25,14521998,169,18000000,114,6,0,0,0,1778833827,189424280
