bag_t.secs,bag_t.nsecs,heading,gSpeed,velE,velN,hAcc,sAcc,flags
0,0,0,0,0,0,50,50,128
0,100000000,91967,94,2,94,50,50,128
0,200000000,2695548,204,92,182,50,50,128
0,300000000,27091967,45,-45,1,50,50,128
0,400000000,21715214,227,-137,-181,50,50,128
0,500000000,18091967,94,-2,-94,50,50,128
0,600000000,19878974,291,-94,-276,50,50,128
0,700000000,21687802,3427,-2056,-2741,50,50,128
0,800000000,20844985,9384,-4470,-8251,50,50,128
0,900000000,20374716,13140,-5291,-12027,50,50,128
1,0,20331340,14202,-5621,-13043,50,50,128
1,100000000,20394923,14974,-6078,-13684,50,50,128
1,200000000,20536010,15131,-6480,-13672,50,50,128
1,300000000,20596036,15002,-6567,-13488,50,50,128
1,400000000,20688583,15013,-6789,-13390,50,50,128
1,500000000,20811599,14969,-7054,-13203,50,50,128
1,600000000,20929976,15240,-7458,-13291,50,50,128
1,700000000,21218570,15680,-8352,-13271,50,50,128
1,800000000,21423363,15713,-8840,-12991,50,50,128
1,900000000,21446665,15536,-8792,-12809,50,50,128
2,0,21533601,14794,-8557,-12069,50,50,128
2,100000000,21525604,14666,-8466,-11976,50,50,128
2,200000000,21619891,15175,-8962,-12246,50,50,128
2,300000000,21557977,15175,-8829,-12342,50,50,128
2,400000000,21445387,14975,-8472,-12348,50,50,128
2,500000000,21527292,14898,-8603,-12163,50,50,128
2,600000000,21633654,15201,-9007,-12245,50,50,128
2,700000000,21654054,15355,-9142,-12337,50,50,128
2,800000000,22575150,13303,-9529,-9283,50,50,128
2,900000000,23874740,11807,-10094,-6126,50,50,128
3,0,23874740,11807,-10094,-6126,50,50,128
3,100000000,23874741,11807,-10094,-6126,50,50,128
3,200000000,23874742,11807,-10094,-6126,50,50,128
3,300000000,23874743,11807,-10094,-6126,50,50,128
3,400000000,23874744,11807,-10094,-6126,50,50,128
3,500000000,23874745,11807,-10094,-6126,50,50,128
3,600000000,22829723,12564,-9380,-8358,50,50,128
3,700000000,21777565,13866,-8494,-10960,50,50,128
3,800000000,21761987,14067,-8587,-11142,50,50,128
3,900000000,21865246,14029,-8762,-10956,50,50,128
4,0,21769041,13969,-8540,-11054,50,50,128
4,100000000,21542259,13578,-7870,-11065,50,50,128
4,200000000,21340766,13154,-7242,-10980,50,50,128
4,300000000,21611459,13577,-8002,-10968,50,50,128
4,400000000,22096620,14247,-9341,-10758,50,50,128
4,500000000,22137427,13852,-9156,-10395,50,50,128
4,600000000,21694896,12924,-7769,-10328,50,50,128
4,700000000,21318755,12899,-7060,-10795,50,50,128
4,800000000,21153420,12995,-6797,-11076,50,50,128
4,900000000,21339042,12494,-6876,-10431,50,50,128
5,0,21651727,11830,-7040,-9508,50,50,128
5,100000000,21788879,11228,-6895,-8861,50,50,128
5,200000000,21887553,10905,-6845,-8490,50,50,128
5,300000000,21789029,10186,-6256,-8039,50,50,128
5,400000000,21965173,8648,-5518,-6658,50,50,128
5,500000000,22363061,5406,-3730,-3913,50,50,128
5,600000000,22496613,3087,-2182,-2184,50,50,128
